maand,grddg_2019,grddg_2020,grddg_2021,grddg_2022,grddg_2023,grddg_2024,grddg_2025,vrbr_gas_VrgJr5,vrbr_gas_VrgJr4,vrbr_gas_VrgJr3,vrbr_gas_VrgJr2,vrbr_gas_VrgJr,gem_ele,vrbr_ele_VrgJr5,vrbr_ele_VrgJr4,vrbr_ele_VrgJr3,vrbr_ele_VrgJr2,vrbr_ele_VrgJr,gem_wat,vrbr_wat_VrgJr5,vrbr_wat_VrgJr4,vrbr_wat_VrgJr3,vrbr_wat_VrgJr2,vrbr_wat_VrgJr,vrbr_gas_HdgJr,vrbr_ele_HdgJr,vrbr_wat_HdgJr
januari,515.13,422.62,537.24,439.01,436.81,507.32,517,333,205,208,259,227,0.1,187,155,130,138,118,0.0849,10,9,8,10,9.8,,,
februari,384.12,372.57,461.12,317.47,398.2,343.97,468,266,175,162,169,188,0.086,165,126,113,115,102,0.0767,8,7,9,8,9.2,,,
maart,335.1,371.5,381.9,373.6,368.1,311,372,223,133,163,142,122,0.089,169,135,126,128,110,0.0849,9,9,9,10,10.6,,,
april,193.84,196.4,292.8,230.88,238.32,190.32,191,164,94,94,87,67,0.075,142,116,122,119,109,0.0822,9,9,6,10,10.4,,,
mei,173.84,157.76,188.56,127.12,139.84,66.08,133,108,31,39,28,34,0.079,150,117,130,121,123,0.0849,10,8,8,9,9.4,,,
juni,32.64,46.64,35.92,58,32.16,78.24,42,20,20,25,29,27,0.072,134,126,134,110,120,0.0822,10,7,10,9,10,,,
juli,38.16,56.88,13.84,34.88,33.04,30.56,15,23,19,23,23,22,0.071,139,123,144,117,116,0.0849,9,9,9,9,9.3,,,
augustus,17.28,24.72,34.08,15.92,39.6,12.08,28,20,16,16,17,21,0.071,117,139,98,109,101,0.0849,8,7,6,8,8.5,,,
september,96.64,91.04,66,105.76,44.8,80.56,86,21,20,19,30,27,0.076,115,89,123,118,107,0.0822,7,4,9,9,8.5,,,
oktober,220.2,219.3,210.4,168.7,181.4,207.4,201,96,60,76,79,65,0.088,120,116,135,111,114,0.0849,8,9,8,9.12,10.4,,,
november,402.82,332.31,357.72,335.17,366.74,384.67,368,191,152,176,173,127,0.09,116,122,141,120,120,0.0822,9,8,9,9.08,9.4,,,
december,431.2,440.22,474.1,505.34,419.21,417.78,418,273,231,226,197,158,0.103,138,124,140,114,118,0.0849,9,8,9,8.8,7.9,,,
